AlessiaMorani	TeresaBellanova	0.4223544145272386
ladyonorato	LucianoBarraCar	0.4221286831028262
IlariaBifarini	Yi_Benevolence	0.42207614352232264
PatriziaRametta	ladyonorato	0.4212488350419385
petra_romano	andreasso1951	0.4211469534050179
LaStampa	Adnkronos	0.4207592648388069
mariolavia	AndreaRomano9	0.420753064798599
SimonaMalpezzi	AndreaMarcucci	0.42053445850914206
PatriziaRametta	GiuseppePalma78	0.42039542143600417
EugenioCardi	andr900	0.42031686859273065
HuffPostItalia	Agenzia_Ansa	0.419915509957755
BarbaraRaval	Yi_Benevolence	0.41976149914821126
lameduck1960	vocidallestero	0.4194312796208531
DavidPuente	jacopo_iacoboni	0.41888062345023025
catirafaella	andr900	0.41883437602897594
soemiade	frido1962	0.41874422899353647
icebergfinanza	fdragoni	0.41842840047865976
Corriere	Adnkronos	0.41838886545761284
soemiade	ConteZero76	0.41835518474374256
francescatotolo	cris_cersei	0.41791960724148514
ale_moretti	pinapic	0.4177372565271446
maumartina	mariannamadia	0.41756889763779526
EugenioCardi	AlvisiConci	0.4174174174174174
GavinoSanna1967	Yi_Benevolence	0.4172297297297297
FedeAngeli	RobertoBurioni	0.41705366357069146
braveheartmmt	fdragoni	0.41700404858299595
lameduck1960	braveheartmmt	0.41610455311973016
soemiade	catirafaella	0.4159325928762926
TgLa7	SkyTG24	0.4159103043246129
ricpuglisi	claudiocerasa	0.4157323055360897
lucabattanta	BarbaraRaval	0.4156804733727811
lauraboldrini	vittoriozucconi	0.4152024446142093
graziano_delrio	claudiocerasa	0.41511794138670477
carloalberto	Phastidio	0.4147694103911267
graziano_delrio	MatteoRichetti	0.41458867396877186
frido1962	AlvisiConci	0.4145622895622896
valy_s	IlariaBifarini	0.41454840454299624
valy_s	Yi_Benevolence	0.41373902132998747
mariannamadia	Deputatipd	0.4134526380746683
FedeAngeli	DavidPuente	0.41322039528317556
claudiocerasa	OGiannino	0.4132096957865625
sole24ore	Adnkronos	0.4128057553956834
TgLa7	LaStampa	0.41265822784810124
icebergfinanza	durezzadelviver	0.41226121723678366
Yi_Benevolence	LucianoBarraCar	0.41216
claudiocerasa	marattin	0.41202508299520474
davidefaraone	AndreaMarcucci	0.4116630669546436
fdragoni	pbecchi	0.41157469717362044
comeDonQuixote	EugenioCardi	0.41134969325153375
catirafaella	AnnaAscani	0.41117351463198343
AlvisiConci	SarahConnor_18	0.41089494163424123
AlessiaMorani	marattin	0.41030358785648574
GiuseppePalma78	borghi_claudio	0.4102186195038074
GavinoSanna1967	CriticaScient	0.41010342084327767
TeresaBellanova	MatteoRichetti	0.40975935828877
Agenzia_Italia	Adnkronos	0.4096826688364524
emanuelefiano	MatteoRichetti	0.409494725152693
TgLa7	Corriere	0.40928035565434845
lauraboldrini	civati	0.4088882282996433
nzingaretti	graziano_delrio	0.4088482074752098
catirafaella	AlessiaMorani	0.4086248492159228
HuffPostItalia	SkyTG24	0.4084298742913483
LucianoBarraCar	CriticaScient	0.4083083832335329
DiegoFusaro	gparagone	0.4082641360221431
DiegoFusaro	LaVeritaWeb	0.408109875735775
FedeAngeli	marattin	0.40786240786240785
lucianocapone	claudiocerasa	0.40728544968100433
MatteoRichetti	AndreaRomano9	0.4072463768115942
scenarieconomic	fdragoni	0.4065857885615251
francescatotolo	GavinoSanna1967	0.40651135005973715
SkyTG24	Adnkronos	0.40631663113006394
nzingaretti	maumartina	0.40581803177223025
IlariaBifarini	LaVeritaWeb	0.40579351324585294
AlessiaMorani	MatteoRichetti	0.40550724637681157
frido1962	ottogattotto	0.40549978175469226
ConteZero76	ottogattotto	0.4052930056710775
lucabattanta	Acidelius	0.4049832651543325
GavinoSanna1967	AlbertoBagnai	0.4049779621467462
braveheartmmt	durezzadelviver	0.4048582995951417
ricpuglisi	FedeAngeli	0.40478962248461664
oinot49	MPenikas	0.40475262952863267
andreasso1951	IgEnd_	0.40423420443268276
emanuelefiano	graziano_delrio	0.40407038371846515
icebergfinanza	LucianoBarraCar	0.4034201321414691
lauraboldrini	CarloCalenda	0.40338900402291844
durezzadelviver	CriticaScient	0.403117101937658
AlvisiConci	andr900	0.40292417545052706
GiuseppePalma78	GavinoSanna1967	0.40292275574112735
TgLa7	Agenzia_Ansa	0.4027172519866701
AndreaMarcucci	AndreaRomano9	0.40268456375838924
vittoriozucconi	graziano_delrio	0.4025762511104531
lameduck1960	PatriziaRametta	0.4025201260063003
lameduck1960	borghi_claudio	0.4023815430414289
markorusso69	lucabattanta	0.40233009708737866
scenarieconomic	LucianoBarraCar	0.40231844527787247
MaurizioBlondet	LucianoBarraCar	0.40231844527787247
sarettaa7	petra_romano	0.40217884702678164
IlariaBifarini	LucianoBarraCar	0.4020196506550218
CarloCalenda	emmabonino	0.4016934557979334
GavinoSanna1967	ladyonorato	0.4016775396085741
lameduck1960	AlbertoBagnai	0.40159711488923233
Yi_Benevolence	pbecchi	0.4015706806282722
ottogattotto	mariobianchi18	0.40155865463494667
lameduck1960	ladyonorato	0.4015455950540958
OGiannino	CarloCalenda	0.4013963904623897
Acidelius	GavinoSanna1967	0.4013853445133066
francescatotolo	MaurizioBlondet	0.4013768332834481
MaurizioBlondet	fdragoni	0.40124309392265195
ottogattotto	andr900	0.4011954992967651
IlariaBifarini	GavinoSanna1967	0.4010253489034463
vittoriozucconi	marattin	0.4007604562737643
Yi_Benevolence	borghi_claudio	0.400711743772242
GavinoSanna1967	byoblu	0.40058247286205984
TeresaBellanova	SimonaMalpezzi	0.4004032258064516
lameduck1960	GiuseppePalma78	0.4003454231433506
braveheartmmt	LucianoBarraCar	0.40015754233950374
catirafaella	AnnaLeonardi1	0.4001386962552011
lucabattanta	FmMosca	0.4
cris_cersei	GavinoSanna1967	0.39978094194961666
ricpuglisi	vittoriozucconi	0.39941902687000724
chiossi_manuela	PaoloZenga	0.39923664122137403
lucabattanta	lameduck1960	0.398989898989899
byoblu	LaVeritaWeb	0.39893617021276595
siceid	ottogattotto	0.3988541207580432
graziano_delrio	eziomauro	0.3982057854265837
francescatotolo	BarbaraRaval	0.39814814814814814
markorusso69	fdragoni	0.3978886057517292
Acidelius	BarbaraRaval	0.3978021978021978
ConteZero76	andr900	0.3977272727272727
meb	claudiocerasa	0.3977178766330412
SenatoriPD	AndreaMarcucci	0.3975181857081729
emanuelefiano	TeresaBellanova	0.39748096074985356
mariobianchi18	andr900	0.39740820734341253
fattoquotidiano	sole24ore	0.3974023014697505
GavinoSanna1967	borghi_claudio	0.39727047146401984
laura_ceruti	catirafaella	0.3972380178716491
byoblu	MaurizioBlondet	0.39676220806794055
davidefaraone	SimonaMalpezzi	0.39650021340162184
eziomauro	LaStampa	0.39643889818901235
SimonaMalpezzi	AnnaAscani	0.39628277464321277
ricpuglisi	DavidPuente	0.39602233077459875
ksnt63	AlvisiConci	0.396011396011396
vittoriozucconi	meb	0.3959263392857143
catirafaella	ConteZero76	0.39585492227979274
markorusso69	lameduck1960	0.39584905660377356
GiuseppePalma78	byoblu	0.3957094856552081
comeDonQuixote	AlvisiConci	0.39570036949949616
antonio_bordin	IlariaBifarini	0.39568345323741005
lucianocapone	jacopo_iacoboni	0.39562955254942767
valy_s	BarbaraRaval	0.39548772395487725
GiuseppePalma78	AlbertoBagnai	0.3951551854655564
GiuseppePalma78	scenarieconomic	0.3949843260188088
lameduck1960	MaurizioBlondet	0.39494301994301995
andreasso1951	LelloEsposito5	0.39486356340288925
sabrimaggioni	andreasso1951	0.39473684210526316
CriticaScient	vocidallestero	0.39458751636839806
Acidelius	braveheartmmt	0.394522892597347
MatteoRichetti	Deputatipd	0.39450726978998385
graziano_delrio	emmabonino	0.3943949517446177
vanabeau	soemiade	0.3940864960282436
fdragoni	CriticaScient	0.39398496240601505
cris_cersei	ladyonorato	0.39382482671707625
markorusso69	cris_cersei	0.3937864077669903
Acidelius	fdragoni	0.3937391304347826
ManuelaBellipan	enzocasamento	0.39335664335664333
lucianocapone	marattin	0.3931585961794758
AnnaAscani	AndreaMarcucci	0.3931057341730196
TgLa7	sole24ore	0.393058690744921
fattoquotidiano	RaiNews	0.392912355809252
meb	AnnaAscani	0.39282884310618066
HuffPostItalia	eziomauro	0.3927099841521395
chiossi_manuela	BarbaraRaval	0.3926891060441549
scenarieconomic	vocidallestero	0.39238020424194814
marcocf69	FmMosca	0.39236256819135545
lameduck1960	CriticaScient	0.39227166276346603
cris_cersei	IlariaBifarini	0.39221902017291066
FmMosca	Yi_Benevolence	0.3921698739216987
PatriziaRametta	pbecchi	0.3921515561569689
francescatotolo	SoniaGrotto	0.39201451905626133
PatriziaRametta	IlariaBifarini	0.3920089410449846
GiuseppePalma78	LaVeritaWeb	0.3919233004067403
Yi_Benevolence	braveheartmmt	0.39167309175019277
FmMosca	BarbaraRaval	0.39156841729188996
valy_s	PatriziaRametta	0.3915155440414508
TgLa7	Adnkronos	0.3913705583756345
lameduck1960	byoblu	0.391304347826087
GiuseppePalma78	Acidelius	0.3912737508796622
catirafaella	ottogattotto	0.39124140427072024
Deputatipd	AndreaMarcucci	0.391185647425897
catirafaella	TeresaBellanova	0.39118457300275483
vanabeau	laura_ceruti	0.3911792905081496
ale_moretti	mariannamadia	0.3910999686618615
MaurizioBlondet	CriticaScient	0.39106366152629496
RobertoBurioni	DavidPuente	0.390684786911202
GavinoSanna1967	icebergfinanza	0.39057377049180325
lucabattanta	francescatotolo	0.3905360886492962
andreasso1951	BarbaraRaval	0.3904792537793503
PatriziaRametta	SoniaGrotto	0.39046253137325204
PatriziaRametta	Acidelius	0.3903914590747331
GhitaIacono	oinot49	0.39026629935720847
markorusso69	GavinoSanna1967	0.39017013232514175
cris_cersei	durezzadelviver	0.3901689708141321
DavidPuente	CarloCalenda	0.3901666437129872
lauraboldrini	emmabonino	0.3900698451260249
soemiade	EugenioCardi	0.38996138996138996
catirafaella	AlvisiConci	0.3899546564352982
emanuelefiano	marattin	0.38986013986013984
markorusso69	braveheartmmt	0.3896629213483146
TeresaBellanova	marattin	0.3894922960343521
RaiNews	La7tv	0.3894719580190226
ricpuglisi	RobertoBurioni	0.3894708924545816
cris_cersei	PatriziaRametta	0.3893048128342246
laura_ceruti	mariobianchi18	0.38911940986629784
vanabeau	AlvisiConci	0.3887993553585818
fattoquotidiano	LaStampa	0.388635566467906
Yi_Benevolence	AlbertoBagnai	0.3886313735057331
HuffPostItalia	Adnkronos	0.38845386150775374
davidefaraone	TeresaBellanova	0.388327721661055
maumartina	CarloCalenda	0.3880842168134986
mariannamadia	BeaLorenzin	0.38802157252341757
borghi_claudio	GiorgiaMeloni	0.3879964695498676
lameduck1960	IlariaBifarini	0.38792134831460673
MatteoRichetti	AndreaMarcucci	0.38786764705882354
AlessiaMorani	Deputatipd	0.3878588516746411
Acidelius	LucianoBarraCar	0.387769046805603
sarettaa7	chiossi_manuela	0.3876972885471469
lameduck1960	icebergfinanza	0.3876472978464039
graziano_delrio	AnnaAscani	0.38757206918641895
cris_cersei	fdragoni	0.3873654980909406
maumartina	MatteoRichetti	0.3871781928319031
lauraboldrini	FedeAngeli	0.3868398994132439
antonio_bordin	ElioLannutti	0.3865733375755647
ElioLannutti	ValeMameli	0.38651775029916235
graziano_delrio	Deputatipd	0.38647114474929045
lucabattanta	SoniaGrotto	0.3864644970414201
AlessiaMorani	AndreaMarcucci	0.3860716700473293
graziano_delrio	marattin	0.3860508953817154
ricpuglisi	OGiannino	0.3859876743431722
antonio_bordin	Yi_Benevolence	0.38593797973595334
PatriziaRametta	borghi_claudio	0.3857386225358968
maumartina	AnnaAscani	0.38573099415204676
